Voltage (V),Temperature (°C),Pressure (hPa),Humidity (%),Fire Alarm
0.56,29.88,1011.43,84.0,0
0.56,29.87,1011.43,84.0,0
0.55,29.87,1011.42,84.0,0
0.55,29.87,1011.43,84.0,0
0.54,29.87,1011.43,84.0,0
0.55,29.87,1011.43,84.0,0
0.55,29.87,1011.42,84.0,0
0.55,29.87,1011.43,84.0,0
0.55,29.88,1011.42,84.0,0
0.55,29.88,1011.42,84.0,0
0.54,29.88,1011.43,84.0,0
0.55,29.89,1011.43,84.0,0
0.55,29.89,1011.44,84.0,0
0.28,28.31,1009.33,48.0,0
0.37,28.33,1009.29,48.0,0
0.46,28.33,1009.32,48.0,0
0.52,28.32,1009.33,48.0,0
0.57,28.3,1009.33,48.0,0
0.6,28.29,1009.33,48.0,0
0.62,28.28,1009.34,47.0,0
0.63,28.27,1009.34,47.0,0
0.64,28.26,1009.34,47.0,0
0.64,28.24,1009.34,47.0,0
0.64,28.23,1009.33,47.0,0
0.64,28.22,1009.32,47.0,0
0.64,28.22,1009.31,47.0,0
0.64,28.2,1009.31,47.0,0
0.63,28.19,1009.31,47.0,0
0.63,28.16,1009.31,47.0,0
0.63,28.14,1009.31,47.0,0
0.63,28.11,1009.32,47.0,0
0.63,28.09,1009.31,47.0,0
0.63,28.07,1009.31,47.0,0
0.62,28.05,1009.31,48.0,0
0.62,28.03,1009.3,48.0,0
0.62,28.0,1009.3,48.0,0
0.62,27.98,1009.31,48.0,0
0.61,27.96,1009.31,48.0,0
0.61,27.94,1009.32,48.0,0
0.61,27.93,1009.33,48.0,0
0.61,27.93,1009.33,48.0,0
0.61,27.92,1009.32,48.0,0
0.61,27.91,1009.32,48.0,0
0.61,27.89,1009.33,48.0,0
0.6,27.87,1009.34,48.0,0
0.6,27.85,1009.34,48.0,0
0.6,27.83,1009.34,48.0,0
0.6,27.82,1009.34,48.0,0
0.59,27.82,1009.35,48.0,0
0.59,27.81,1009.35,48.0,0
0.59,27.81,1009.36,48.0,0
0.59,27.79,1009.36,48.0,0
0.59,27.78,1009.36,48.0,0
0.58,27.75,1009.35,48.0,0
0.59,27.74,1009.35,48.0,0
0.58,27.72,1009.35,49.0,0
0.58,27.71,1009.34,49.0,0
0.57,27.7,1009.34,49.0,0
0.57,27.7,1009.33,49.0,0
0.57,27.69,1009.33,49.0,0
0.57,27.69,1009.33,49.0,0
0.56,27.68,1009.33,49.0,0
0.56,27.67,1009.33,49.0,0
0.56,27.67,1009.33,49.0,0
0.56,27.66,1009.33,49.0,0
0.56,27.65,1009.33,49.0,0
0.56,27.63,1009.33,49.0,0
0.56,27.62,1009.33,49.0,0
0.56,27.61,1009.33,49.0,0
0.56,27.6,1009.32,49.0,0
0.55,27.59,1009.32,49.0,0
0.55,27.59,1009.33,49.0,0
0.55,27.59,1009.33,49.0,0
0.55,27.58,1009.33,49.0,0
0.55,27.57,1009.33,49.0,0
0.55,27.54,1009.34,49.0,0
0.55,27.52,1009.34,49.0,0
0.55,27.51,1009.34,49.0,0
0.54,27.5,1009.33,49.0,0
0.54,27.48,1009.32,49.0,0
0.54,27.48,1009.32,49.0,0
0.54,27.47,1009.33,49.0,0
0.54,27.47,1009.33,49.0,0
0.54,27.47,1009.33,49.0,0
0.54,27.47,1009.33,49.0,0
0.54,27.47,1009.33,49.0,0
0.54,27.46,1009.33,49.0,0
0.58,27.46,1009.33,49.0,0
0.57,27.45,1009.33,50.0,0
0.57,27.45,1009.33,50.0,0
0.57,27.46,1009.34,50.0,0
0.58,27.46,1009.33,50.0,0
0.55,27.45,1009.3,50.0,0
0.54,27.44,1009.28,50.0,0
0.56,27.44,1009.27,50.0,0
0.55,27.46,1009.27,50.0,0
0.55,27.52,1009.3,50.0,0
0.54,27.61,1009.34,54.0,0
0.54,27.69,1009.37,54.0,0
0.54,27.76,1009.39,55.0,0
0.54,27.85,1009.39,56.0,0
0.55,27.93,1009.4,59.0,0
0.55,28.0,1009.41,60.0,0
0.55,28.07,1009.41,62.0,0
0.55,28.14,1009.4,63.0,0
0.55,28.24,1009.41,66.0,0
0.55,28.32,1009.42,68.0,0
0.55,28.42,1009.42,69.0,0
0.55,28.5,1009.43,70.0,0
0.55,28.55,1009.44,70.0,0
0.55,28.6,1009.44,71.0,0
0.55,28.64,1009.44,71.0,0
0.55,28.69,1009.44,71.0,0
0.55,28.74,1009.45,71.0,0
0.55,28.82,1009.45,72.0,0
0.56,28.9,1009.44,72.0,0
0.55,28.95,1009.45,72.0,0
0.55,28.98,1009.45,72.0,0
0.55,29.01,1009.45,72.0,0
0.55,29.04,1009.44,72.0,0
0.55,29.08,1009.44,70.0,0
0.55,29.11,1009.43,70.0,0
0.55,29.15,1009.42,70.0,0
0.55,29.2,1009.43,70.0,0
0.55,29.23,1009.43,70.0,0
0.55,29.26,1009.43,70.0,0
0.55,29.28,1009.42,70.0,0
0.55,29.31,1009.42,69.0,0
0.55,29.33,1009.42,69.0,0
0.55,29.37,1009.42,69.0,0
0.55,29.4,1009.43,69.0,0
0.55,29.43,1009.43,69.0,0
0.55,29.45,1009.43,69.0,0
0.55,29.49,1009.43,69.0,0
0.55,29.54,1009.43,69.0,0
0.55,29.58,1009.43,69.0,0
0.55,29.61,1009.44,69.0,0
0.55,29.64,1009.44,69.0,0
0.55,29.67,1009.45,69.0,0
0.55,29.69,1009.45,69.0,0
0.55,29.72,1009.44,69.0,0
0.55,29.76,1009.44,69.0,0
0.54,29.79,1009.45,69.0,0
0.54,29.83,1009.45,69.0,0
0.55,29.85,1009.44,69.0,0
0.54,29.88,1009.43,69.0,0
0.54,29.9,1009.43,69.0,0
0.55,29.92,1009.43,68.0,0
0.54,29.94,1009.43,68.0,0
0.54,29.97,1009.43,68.0,0
0.54,30.0,1009.43,68.0,0
0.54,30.03,1009.44,68.0,0
0.54,30.05,1009.44,68.0,0
0.54,30.07,1009.45,68.0,0
0.54,30.08,1009.45,68.0,0
0.54,30.1,1009.46,68.0,0
0.54,30.13,1009.46,68.0,0
0.54,30.15,1009.46,68.0,0
0.54,30.17,1009.46,68.0,0
0.54,30.19,1009.45,68.0,0
0.54,30.21,1009.45,68.0,0
0.54,30.23,1009.44,68.0,0
0.54,30.25,1009.44,68.0,0
0.53,30.26,1009.43,67.0,0
0.53,30.28,1009.43,67.0,0
0.53,30.3,1009.42,67.0,0
0.53,30.32,1009.42,67.0,0
0.53,30.34,1009.43,67.0,0
0.53,30.38,1009.43,68.0,0
0.53,30.4,1009.44,68.0,0
0.54,30.42,1009.43,68.0,0
0.53,30.44,1009.43,67.0,0
0.53,30.46,1009.43,67.0,0
0.53,30.49,1009.44,67.0,0
0.53,30.51,1009.43,67.0,0
0.55,30.54,1009.43,68.0,0
0.53,30.56,1009.44,68.0,0
0.53,30.57,1009.45,68.0,0
0.53,30.58,1009.45,68.0,0
0.53,30.59,1009.44,68.0,0
0.53,30.61,1009.43,67.0,0
0.53,30.62,1009.43,67.0,0
0.53,30.65,1009.43,67.0,0
0.53,30.68,1009.43,67.0,0
0.52,30.7,1009.43,68.0,0
0.53,30.71,1009.44,67.0,0
0.53,30.73,1009.44,67.0,0
0.53,30.75,1009.43,68.0,0
0.52,30.77,1009.43,68.0,0
0.53,30.78,1009.43,68.0,0
0.53,30.79,1009.44,67.0,0
0.53,30.8,1009.45,67.0,0
0.52,30.82,1009.45,67.0,0
0.52,30.84,1009.45,67.0,0
0.52,30.86,1009.45,67.0,0
0.52,30.88,1009.44,67.0,0
0.52,30.9,1009.45,67.0,0
0.52,30.92,1009.45,67.0,0
0.52,30.95,1009.44,67.0,0
0.52,30.96,1009.44,68.0,0
0.52,30.97,1009.44,68.0,0
0.52,30.99,1009.44,68.0,0
0.52,31.01,1009.44,68.0,0
0.52,31.02,1009.45,68.0,0
0.52,31.03,1009.45,68.0,0
0.52,31.05,1009.45,67.0,0
0.52,31.07,1009.46,67.0,0
0.52,31.1,1009.46,67.0,0
0.52,31.12,1009.45,67.0,0
0.52,31.15,1009.45,68.0,0
0.52,31.17,1009.45,68.0,0
0.52,31.18,1009.44,68.0,0
0.52,31.21,1009.44,68.0,0
0.52,31.22,1009.45,68.0,0
0.51,31.23,1009.46,68.0,0
0.52,31.23,1009.46,68.0,0
0.52,31.23,1009.47,68.0,0
0.51,31.24,1009.47,68.0,0
0.51,31.24,1009.47,68.0,0
0.51,31.24,1009.48,68.0,0
0.51,31.25,1009.47,68.0,0
0.51,31.26,1009.48,68.0,0
0.51,31.28,1009.47,68.0,0
0.51,31.3,1009.48,68.0,0
0.51,31.31,1009.48,68.0,0
0.51,31.31,1009.49,68.0,0
0.51,31.32,1009.49,68.0,0
0.51,31.35,1009.48,68.0,0
0.51,31.38,1009.49,68.0,0
0.51,31.4,1009.49,68.0,0
0.51,31.41,1009.48,68.0,0
0.51,31.44,1009.48,68.0,0
0.51,31.46,1009.46,68.0,0
0.5,31.48,1009.47,68.0,0
0.51,31.49,1009.47,68.0,0
0.51,31.51,1009.48,68.0,0
0.5,31.52,1009.47,68.0,0
0.51,31.53,1009.47,68.0,0
0.5,31.54,1009.47,67.0,0
0.5,31.54,1009.47,67.0,0
0.5,31.55,1009.47,67.0,0
0.5,31.56,1009.48,67.0,0
0.52,31.56,1009.48,67.0,0
0.5,31.56,1009.48,67.0,0
0.5,31.57,1009.47,67.0,0
0.5,31.57,1009.47,67.0,0
0.5,31.57,1009.46,67.0,0
0.5,31.58,1009.47,67.0,0
0.5,31.58,1009.47,67.0,0
0.5,31.59,1009.47,67.0,0
0.5,31.59,1009.46,67.0,0
0.5,31.6,1009.47,67.0,0
0.5,31.6,1009.47,67.0,0
0.5,31.61,1009.48,67.0,0
0.5,31.61,1009.48,67.0,0
0.5,31.62,1009.48,67.0,0
0.5,31.63,1009.49,67.0,0
0.5,31.64,1009.5,67.0,0
0.5,31.66,1009.51,67.0,0
0.5,31.68,1009.5,67.0,0
0.5,31.71,1009.49,67.0,0
0.5,31.74,1009.48,67.0,0
0.49,31.78,1009.48,67.0,0
0.5,31.81,1009.47,67.0,0
0.49,31.83,1009.46,67.0,0
0.49,31.85,1009.47,67.0,0
0.49,31.86,1009.48,67.0,0
0.49,31.87,1009.48,67.0,0
0.49,31.87,1009.48,67.0,0
0.49,31.87,1009.47,67.0,0
0.49,31.88,1009.48,67.0,0
0.49,31.87,1009.49,67.0,0
0.49,31.87,1009.5,67.0,0
0.49,31.87,1009.5,67.0,0
0.49,31.87,1009.51,67.0,0
0.48,31.87,1009.52,67.0,0
0.49,31.88,1009.51,67.0,0
0.49,31.88,1009.51,66.0,0
0.49,31.89,1009.51,66.0,0
0.49,31.89,1009.5,66.0,0
0.49,31.89,1009.5,66.0,0
0.49,31.89,1009.5,66.0,0
0.49,31.88,1009.5,66.0,0
0.49,31.88,1009.5,66.0,0
0.49,31.89,1009.5,66.0,0
0.48,31.9,1009.5,66.0,0
0.48,31.91,1009.5,66.0,0
0.49,31.91,1009.5,66.0,0
0.49,31.92,1009.5,66.0,0
0.49,31.92,1009.5,66.0,0
0.48,31.93,1009.51,66.0,0
0.48,31.93,1009.52,66.0,0
0.48,31.94,1009.52,66.0,0
0.48,31.95,1009.51,66.0,0
0.48,31.96,1009.51,66.0,0
0.48,31.97,1009.51,66.0,0
0.48,31.97,1009.52,66.0,0
0.48,31.98,1009.52,66.0,0
0.48,31.98,1009.52,66.0,0
0.48,31.99,1009.52,66.0,0
0.48,31.99,1009.51,66.0,0
0.48,31.99,1009.51,66.0,0
0.48,32.0,1009.52,66.0,0
0.48,32.01,1009.52,66.0,0
0.48,32.01,1009.52,66.0,0
0.48,32.01,1009.52,66.0,0
0.48,32.01,1009.53,66.0,0
0.48,32.01,1009.52,66.0,0
0.48,32.02,1009.52,66.0,0
0.48,32.02,1009.53,66.0,0
0.48,32.02,1009.53,66.0,0
0.48,32.02,1009.54,66.0,0
0.48,32.02,1009.53,66.0,0
0.48,32.02,1009.53,66.0,0
0.48,32.03,1009.53,66.0,0
0.48,32.03,1009.53,66.0,0
0.48,32.04,1009.53,66.0,0
0.48,32.04,1009.54,66.0,0
0.47,32.05,1009.54,66.0,0
0.47,32.05,1009.55,66.0,0
0.47,32.06,1009.54,66.0,0
0.48,32.07,1009.54,66.0,0
0.48,32.07,1009.53,66.0,0
0.47,32.08,1009.54,66.0,0
0.47,32.08,1009.55,66.0,0
0.47,32.09,1009.55,66.0,0
0.47,32.1,1009.56,66.0,0
0.47,32.11,1009.56,66.0,0
0.47,32.11,1009.55,66.0,0
0.47,32.11,1009.55,66.0,0
0.47,32.11,1009.56,66.0,0
0.47,32.1,1009.57,66.0,0
0.47,32.1,1009.58,65.0,0
0.47,32.1,1009.58,65.0,0
0.47,32.11,1009.58,65.0,0
0.47,32.11,1009.57,65.0,0
0.47,32.12,1009.57,65.0,0
0.47,32.13,1009.58,66.0,0
0.47,32.13,1009.59,66.0,0
0.47,32.14,1009.59,66.0,0
0.47,32.15,1009.58,66.0,0
0.47,32.15,1009.58,66.0,0
0.47,32.15,1009.59,66.0,0
0.47,32.15,1009.6,66.0,0
0.47,32.15,1009.6,66.0,0
0.46,32.15,1009.61,66.0,0
0.47,32.15,1009.61,66.0,0
0.46,32.15,1009.61,66.0,0
0.46,32.16,1009.61,66.0,0
0.47,32.16,1009.6,66.0,0
0.46,32.17,1009.61,66.0,0
0.46,32.17,1009.61,66.0,0
0.46,32.17,1009.6,66.0,0
0.46,32.18,1009.6,66.0,0
0.46,32.19,1009.61,66.0,0
0.46,32.19,1009.62,66.0,0
0.46,32.19,1009.62,66.0,0
0.46,32.18,1009.62,66.0,0
0.46,32.18,1009.63,66.0,0
0.46,32.18,1009.62,66.0,0
0.46,32.18,1009.62,66.0,0
0.46,32.18,1009.62,66.0,0
0.46,32.19,1009.62,66.0,0
0.46,32.19,1009.63,66.0,0
0.46,32.2,1009.63,66.0,0
0.46,32.21,1009.63,66.0,0
0.46,32.21,1009.64,66.0,0
0.46,32.22,1009.64,66.0,0
0.46,32.22,1009.64,66.0,0
0.46,32.22,1009.64,66.0,0
0.46,32.22,1009.65,66.0,0
0.46,32.22,1009.65,66.0,0
0.46,32.21,1009.65,66.0,0
0.46,32.22,1009.64,66.0,0
0.46,32.22,1009.64,66.0,0
0.46,32.21,1009.65,66.0,0
0.47,32.2,1009.63,66.0,0
0.46,32.17,1009.59,65.0,0
0.45,32.11,1009.57,62.0,0
0.44,32.07,1009.6,62.0,0
0.43,32.04,1009.61,61.0,0
0.43,32.02,1009.62,61.0,0
0.43,31.99,1009.63,61.0,0
0.43,31.97,1009.62,60.0,0
0.43,31.95,1009.61,60.0,0
0.41,31.93,1009.6,60.0,0
0.41,31.92,1009.6,60.0,0
0.41,31.91,1009.61,60.0,0
0.41,31.9,1009.61,59.0,0
0.41,31.89,1009.61,59.0,0
0.41,31.87,1009.62,59.0,0
0.41,31.85,1009.62,59.0,0
0.41,31.83,1009.63,59.0,0
0.41,31.81,1009.63,58.0,0
0.41,31.8,1009.63,58.0,0
0.41,31.78,1009.62,58.0,0
0.41,31.77,1009.63,57.0,0
0.41,31.76,1009.62,57.0,0
0.41,31.75,1009.62,57.0,0
0.41,31.74,1009.62,57.0,0
0.41,31.72,1009.64,57.0,0
0.41,31.7,1009.63,57.0,0
0.41,31.68,1009.63,57.0,0
0.4,31.66,1009.62,57.0,0
0.41,31.64,1009.62,57.0,0
0.41,31.63,1009.6,57.0,0
0.41,31.61,1009.6,57.0,0
0.41,31.6,1009.6,57.0,0
0.41,31.6,1009.61,57.0,0
0.41,31.59,1009.6,57.0,0
0.4,31.58,1009.59,57.0,0
0.41,31.57,1009.6,57.0,0
0.4,31.55,1009.6,57.0,0
0.4,31.54,1009.62,57.0,0
0.41,31.53,1009.64,57.0,0
0.4,31.52,1009.65,57.0,0
0.4,31.5,1009.65,57.0,0
0.4,31.49,1009.64,57.0,0
0.4,31.48,1009.64,57.0,0
0.4,31.47,1009.64,57.0,0
0.4,31.47,1009.64,57.0,0
0.41,31.46,1009.64,57.0,0
0.41,31.45,1009.64,57.0,0
0.4,31.43,1009.64,58.0,0
0.4,31.42,1009.63,58.0,0
0.4,31.42,1009.63,58.0,0
0.41,31.41,1009.62,57.0,0
0.4,31.4,1009.62,57.0,0
0.4,31.4,1009.63,57.0,0
0.4,31.4,1009.63,57.0,0
0.4,31.39,1009.63,57.0,0
0.4,31.38,1009.63,57.0,0
0.4,31.38,1009.64,57.0,0
0.4,31.38,1009.64,57.0,0
0.4,31.37,1009.64,57.0,0
0.4,31.36,1009.64,57.0,0
0.4,31.35,1009.64,58.0,0
0.4,31.16,1009.66,58.0,0
0.4,31.15,1009.67,58.0,0
0.4,31.15,1009.67,58.0,0
0.4,31.15,1009.67,58.0,0
0.4,31.15,1009.67,58.0,0
0.4,31.15,1009.67,58.0,0
0.4,31.15,1009.68,58.0,0
0.4,31.15,1009.69,58.0,0
