Voltage (V),Temperature (°C),Pressure (hPa),Humidity (%),Fire Alarm
0.57,41.7,1009.31,40.0,1
0.55,41.88,1009.31,39.0,1
0.52,42.06,1009.3,39.0,1
0.48,42.23,1009.29,39.0,1
0.48,42.37,1009.29,38.0,1
0.47,42.55,1009.28,37.0,1
0.49,42.7,1009.28,38.0,1
0.48,42.87,1009.29,38.0,1
0.45,43.02,1009.3,38.0,1
0.48,43.14,1009.29,37.0,1
0.48,43.21,1009.28,37.0,1
0.47,43.19,1009.28,36.0,1
0.5,43.16,1009.28,35.0,1
0.56,43.23,1009.28,35.0,1
0.64,43.35,1009.27,35.0,1
0.63,43.51,1009.27,34.0,1
0.56,43.63,1009.26,35.0,1
0.51,43.75,1009.25,35.0,1
0.52,43.84,1009.24,35.0,1
0.53,43.91,1009.24,34.0,1
0.49,44.0,1009.24,33.0,1
0.5,44.12,1009.24,33.0,1
0.49,44.24,1009.25,33.0,1
0.5,44.38,1009.24,33.0,1
0.51,44.5,1009.23,33.0,1
0.5,44.57,1009.22,33.0,1
0.5,44.63,1009.22,33.0,1
0.53,44.74,1009.22,32.0,1
0.55,44.83,1009.22,33.0,1
0.57,44.88,1009.21,33.0,1
0.55,44.91,1009.21,32.0,1
0.55,44.86,1009.21,32.0,1
0.57,44.86,1009.21,32.0,1
0.59,44.88,1009.22,31.0,1
0.63,44.95,1009.22,32.0,1
0.61,45.04,1009.23,32.0,1
0.65,45.15,1009.23,32.0,1
0.7,45.16,1009.23,32.0,1
0.71,45.09,1009.23,32.0,1
0.7,45.07,1009.23,31.0,1
0.75,45.12,1009.24,31.0,1
0.73,45.25,1009.24,32.0,1
0.65,45.38,1009.23,32.0,1
0.56,45.52,1009.23,32.0,1
0.53,45.65,1009.23,32.0,1
0.54,45.74,1009.23,32.0,1
0.55,45.78,1009.23,32.0,1
0.53,45.79,1009.23,32.0,1
0.52,45.8,1009.23,31.0,1
0.51,45.79,1009.23,31.0,1
0.52,45.79,1009.23,31.0,1
0.55,45.87,1009.22,31.0,1
0.58,45.98,1009.22,31.0,1
0.58,46.1,1009.23,31.0,1
0.56,46.22,1009.23,31.0,1
0.51,46.33,1009.23,31.0,1
0.5,46.44,1009.23,30.0,1
0.47,46.53,1009.23,30.0,1
0.43,46.47,1009.23,30.0,1
0.48,46.31,1009.22,29.0,1
0.49,46.12,1009.2,29.0,1
0.51,45.92,1009.2,28.0,1
0.55,45.73,1009.19,28.0,1
0.56,45.65,1009.19,27.0,1
0.59,45.72,1009.19,27.0,1
0.59,45.82,1009.19,27.0,1
0.55,45.94,1009.19,27.0,1
0.53,46.07,1009.21,27.0,1
0.53,46.17,1009.21,28.0,1
0.53,46.25,1009.21,28.0,1
0.52,46.35,1009.22,28.0,1
0.51,46.45,1009.21,28.0,1
0.5,46.56,1009.21,28.0,1
0.47,46.65,1009.2,29.0,1
0.45,46.71,1009.19,29.0,1
0.44,46.82,1009.18,28.0,1
0.43,46.88,1009.17,28.0,1
0.44,46.96,1009.17,28.0,1
0.43,47.08,1009.17,28.0,1
0.41,47.21,1009.17,29.0,1
0.39,47.32,1009.17,29.0,1
0.36,47.39,1009.15,28.0,1
0.38,47.5,1009.15,27.0,1
0.38,47.53,1009.15,27.0,1
0.38,47.38,1009.16,26.0,1
0.37,47.08,1009.16,25.0,1
0.39,46.73,1009.17,25.0,1
0.41,46.41,1009.17,25.0,1
0.41,46.23,1009.16,25.0,1
0.46,46.08,1009.15,25.0,1
0.48,45.98,1009.14,24.0,1
0.47,45.96,1009.15,24.0,1
0.5,45.96,1009.14,24.0,1
0.51,45.96,1009.14,24.0,1
0.53,46.0,1009.14,24.0,1
0.53,46.05,1009.16,24.0,1
0.53,46.04,1009.15,24.0,1
0.56,46.05,1009.15,24.0,1
0.59,46.15,1009.14,24.0,1
0.59,46.33,1009.15,24.0,1
0.55,46.53,1009.15,24.0,1
0.55,46.71,1009.14,24.0,1
0.52,46.81,1009.13,25.0,1
0.52,46.86,1009.12,25.0,1
0.52,46.83,1009.12,25.0,1
0.53,46.77,1009.13,25.0,1
0.55,46.71,1009.15,25.0,1
0.53,46.69,1009.15,25.0,1
0.53,46.68,1009.14,25.0,1
0.56,46.73,1009.15,25.0,1
0.59,46.8,1009.13,25.0,1
