Temperature (°C),Humidity (%),Pressure (hPa),Voltage (V),Fire Alarm
20.391,49.37,939.771,0.064874,0
20.406,49.58,939.77,0.084932,0
20.42,50.11,939.775,0.035523,0
20.434,50.68,939.772,0.02547,0
20.448,51.23,939.772,0.009035,0
20.462,51.77,939.762,0.014551,0
20.505,53.12,939.754,0.002078,0
20.561,54.41,939.761,0.005872,0
20.575,54.67,939.766,0.007397,0
20.645,55.86,939.754,0.009035,0
20.659,55.99,939.754,0.010777,0
20.715,56.36,939.711,0.005872,0
20.729,56.47,939.701,0.020866,0
20.743,56.55,939.693,0.014551,0
20.756,56.6,939.707,0.014551,0
20.77,56.66,939.718,0.003198,0
20.853,54.14,939.719,0.003198,0
20.867,53.6,939.734,0.014551,0
20.908,52.27,939.76,0.012617,0
20.921,51.94,939.758,0.055496,0
20.935,51.66,939.762,0.030362,0
20.948,51.38,939.779,0.043736,0
20.962,51.16,939.767,0.018679,0
20.976,50.92,939.771,0.007397,0
20.989,50.72,939.77,0.030362,0
21.003,50.55,939.773,0.030362,0
21.016,50.38,939.763,0.030362,0
21.03,50.24,939.772,0.030362,0
21.043,50.1,939.776,0.016573,0
21.057,49.93,939.779,0.035523,0
21.07,49.88,939.777,0.03291,0
21.084,49.74,939.781,0.001131,0
21.097,49.67,939.778,0.02547,0
21.11,49.55,939.764,0.02313,0
21.124,49.47,939.772,0.030362,0
21.137,49.44,939.777,0.005872,0
21.15,49.39,939.776,0.007397,0
21.164,49.31,939.784,0.016573,0
21.177,49.21,939.787,0.02313,0
21.19,49.07,939.779,0.102851,0
21.204,49.29,939.784,0.1179,0
21.217,49.81,939.787,0.153843,0
21.23,50.45,939.782,0.074695,0
21.243,51.03,939.781,0.106556,0
21.257,51.56,939.775,0.078063,0
21.27,52.04,939.78,0.052473,0
21.283,52.54,939.788,0.030362,0
21.296,52.92,939.791,0.081475,0
21.309,53.32,939.792,0.055496,0
21.323,53.65,939.799,0.043736,0
21.336,53.96,939.801,0.074695,0
21.349,54.25,939.795,0.0382,0
21.362,54.52,939.799,0.03291,0
21.375,54.74,939.784,0.020866,0
21.388,54.95,939.796,0.03291,0
21.401,55.16,939.775,0.035523,0
21.414,55.32,939.782,0.009035,0
21.427,55.53,939.788,0.02547,0
21.44,55.64,939.787,0.001131,0
21.453,55.81,939.789,0.02313,0
21.466,55.9,939.792,0.010777,0
21.479,56.07,939.794,0.016573,0
21.492,56.18,939.798,0.018679,0
21.505,56.24,939.795,0.009035,0
21.518,56.37,939.8,0.005872,0
21.531,56.42,939.803,0.014551,0
21.543,56.5,939.804,0.02547,0
21.556,56.62,939.809,0.018679,0
21.569,56.69,939.809,0.014551,0
21.646,54.24,939.802,0.012617,0
21.658,53.68,939.791,0.001131,0
21.671,53.18,939.792,0.001131,0
21.696,52.37,939.798,0.005872,0
21.709,52.01,939.804,0.001131,0
21.722,51.72,939.802,0.012617,0
21.734,51.45,939.803,0.007397,0
21.747,51.18,939.805,0.001131,0
21.76,51.01,939.8,0.010777,0
21.772,50.78,939.788,0.012617,0
21.785,50.64,939.784,0.001131,0
21.797,50.46,939.782,0.0004,0
21.822,50.16,939.782,0.0382,0
21.835,50.04,939.796,0.012617,0
21.847,49.93,939.791,0.005872,0
21.86,49.85,939.792,0.005872,0
21.872,49.76,939.806,0.009035,0
21.885,49.64,939.821,0.004468,0
21.897,49.58,939.815,0.014551,0
21.909,49.5,939.805,0.014551,0
21.934,49.38,939.803,0.007397,0
21.946,49.33,939.819,0.003198,0
21.959,49.16,939.812,0.058571,0
21.971,49.32,939.817,0.09556,0
21.983,49.87,939.813,0.061697,0
21.996,50.49,939.81,0.0681,0
22.008,51.08,939.818,0.058571,0
22.02,51.65,939.832,0.052473,0
22.032,52.13,939.82,0.058571,0
22.044,52.62,939.815,0.043736,0
22.057,53.02,939.815,0.035523,0
22.069,53.45,939.817,0.0382,0
22.081,53.75,939.817,0.02547,0
22.093,54.05,939.811,0.052473,0
22.105,54.36,939.809,0.071374,0
22.117,54.59,939.813,0.061697,0
22.13,54.83,939.81,0.0382,0
22.142,55.03,939.794,0.035523,0
22.154,55.25,939.791,0.035523,0
22.166,55.46,939.791,0.016573,0
22.178,55.61,939.799,0.014551,0
22.19,55.73,939.805,0.014551,0
22.202,55.88,939.812,0.030362,0
22.214,56.02,939.812,0.020866,0
22.226,56.14,939.821,0.027881,0
22.238,56.26,939.823,0.014551,0
22.25,56.32,939.826,0.001131,0
22.262,56.43,939.815,0.001131,0
22.273,56.53,939.808,0.004468,0
22.285,56.63,939.808,0.003198,0
22.297,56.69,939.81,0.005872,0
22.309,56.76,939.82,0.001131,0
22.368,53.84,939.803,0.0004,0
22.392,51.95,939.809,0.003198,0
22.415,51.38,939.814,0.001131,0
22.427,51.19,939.815,0.0004,0
22.438,50.83,939.806,0.016573,0
22.45,50.65,939.798,0.0004,0
22.462,50.49,939.804,0.016573,0
22.473,50.36,939.806,0.0004,0
22.485,50.2,939.801,0.018679,0
22.497,50.09,939.803,0.001131,0
22.508,49.96,939.806,0.02313,0
22.52,49.89,939.81,0.002078,0
22.531,49.78,939.807,0.016573,0
22.543,49.71,939.813,0.0004,0
22.554,49.63,939.81,0.005872,0
22.577,49.52,939.806,0.009035,0
22.589,49.43,939.812,0.009035,0
22.6,49.23,939.813,0.078063,0
22.612,49.5,939.815,0.055496,0
22.623,50.05,939.811,0.114081,0
22.634,50.61,939.812,0.055496,0
22.646,51.18,939.802,0.09556,0
22.657,51.74,939.802,0.040938,0
22.669,52.22,939.813,0.040938,0
22.68,52.7,939.804,0.058571,0
22.691,53.13,939.807,0.046592,0
22.703,53.51,939.8,0.061697,0
22.714,54.1,939.806,0.071374,0
22.725,54.45,939.806,0.030362,0
22.736,54.71,939.809,0.035523,0
22.748,54.87,939.801,0.043736,0
22.759,55.24,939.793,0.027881,0
22.77,55.5,939.795,0.03291,0
22.781,55.66,939.801,0.009035,0
22.793,55.84,939.791,0.012617,0
22.804,55.94,939.791,0.027881,0
22.815,56.1,939.788,0.018679,0
22.826,56.19,939.787,0.009035,0
22.837,56.29,939.795,0.003198,0
22.848,56.39,939.79,0.014551,0
22.859,56.51,939.784,0.035523,0
22.87,56.6,939.778,0.007397,0
22.881,56.71,939.786,0.009035,0
22.892,56.75,939.8,0.012617,0
22.904,56.85,939.79,0.012617,0
22.958,54.37,939.804,0.012617,0
22.969,53.86,939.807,0.012617,0
22.98,53.35,939.825,0.007397,0
22.991,52.9,939.82,0.003198,0
23.002,52.52,939.815,0.003198,0
23.013,52.15,939.804,0.002078,0
23.024,51.86,939.808,0.007397,0
23.035,51.58,939.807,0.001131,0
23.045,51.37,939.817,0.002078,0
23.056,51.11,939.81,0.0004,0
23.067,50.96,939.802,0.001131,0
23.11,50.31,939.816,0.0004,0
23.121,50.19,939.808,0.016573,0
23.131,50.08,939.813,0.004468,0
23.153,49.85,939.791,0.016573,0
23.163,49.71,939.812,0.014551,0
23.174,49.66,939.8,0.020866,0
23.195,49.53,939.801,0.020866,0
23.206,49.45,939.805,0.0004,0
23.216,49.31,939.811,0.074695,0
23.227,49.97,939.817,0.088433,0
23.238,50.61,939.821,0.14156,0
23.248,51.19,939.827,0.114081,0
23.259,51.75,939.821,0.088433,0
23.269,52.63,939.825,0.099186,0
23.28,53.07,939.822,0.09556,0
23.29,53.48,939.816,0.078063,0
23.3,53.84,939.821,0.03291,0
23.311,54.17,939.804,0.0681,0
23.321,54.43,939.798,0.0681,0
23.332,54.71,939.807,0.016573,0
23.342,54.92,939.791,0.010777,0
23.353,55.14,939.802,0.02313,0
23.363,55.36,939.8,0.030362,0
23.373,55.55,939.797,0.040938,0
23.384,55.74,939.796,0.010777,0
23.394,55.89,939.789,0.030362,0
23.404,56.0,939.803,0.001131,0
23.414,56.17,939.794,0.014551,0
23.425,56.27,939.806,0.02547,0
23.435,56.37,939.799,0.004468,0
23.445,56.48,939.803,0.018679,0
