Temperature[C],Humidity[%],Pressure[hPa],CO(V),Fire Alarm
20.0,57.36,939.735,0.351,0
20.015,56.67,939.744,0.391,0
20.029,55.96,939.738,0.749,0
20.044,55.28,939.736,0.381,0
20.059,54.69,939.744,0.394,0
20.073,54.12,939.725,0.799,0
20.088,53.61,939.738,0.622,0
20.103,53.2,939.758,0.186,0
20.117,52.81,939.758,0.63,0
20.132,52.46,939.756,0.771,0
20.146,52.15,939.757,0.49,0
20.161,51.84,939.754,0.15,0
20.175,51.62,939.755,0.153,0
20.19,51.39,939.758,0.178,0
20.204,51.17,939.742,0.957,0
20.219,50.99,939.741,0.719,0
20.233,50.86,939.758,0.393,0
20.248,50.66,939.764,0.763,0
20.262,50.49,939.761,0.707,0
20.277,50.27,939.752,0.113,0
20.291,50.15,939.729,0.839,0
20.305,50.02,939.741,0.711,0
20.32,49.96,939.756,0.499,0
20.334,49.83,939.764,0.382,0
20.348,49.76,939.77,0.241,0
20.363,49.65,939.774,0.716,0
20.377,49.58,939.771,0.461,0
20.391,49.37,939.771,0.402,0
20.406,49.58,939.77,0.798,0
20.42,50.11,939.775,0.839,0
20.434,50.68,939.772,0.43,0
20.448,51.23,939.772,0.242,0
20.462,51.77,939.762,0.584,0
20.477,52.28,939.769,0.636,0
20.491,52.74,939.747,0.095,0
20.505,53.12,939.754,0.692,0
20.519,53.5,939.755,0.091,0
20.533,53.84,939.747,0.726,0
20.547,54.13,939.757,0.149,0
20.561,54.41,939.761,0.171,0
20.575,54.67,939.766,0.405,0
20.589,54.91,939.765,0.678,0
20.603,55.08,939.761,0.483,0
20.617,55.28,939.757,0.869,0
20.631,55.49,939.762,0.356,0
20.645,55.86,939.754,0.722,0
20.659,55.99,939.754,0.09,0
20.673,56.11,939.745,0.09,0
20.687,56.18,939.741,0.814,0
20.701,56.32,939.722,0.527,0
20.715,56.36,939.711,0.457,0
20.729,56.47,939.701,0.292,0
20.743,56.55,939.693,0.401,0
20.756,56.6,939.707,0.426,0
20.77,56.66,939.718,0.937,0
20.784,56.91,939.722,0.579,0
20.798,56.64,939.721,0.441,0
20.812,56.06,939.709,0.29,0
20.825,55.38,939.714,0.773,0
20.839,54.75,939.718,0.369,0
20.853,54.14,939.719,0.597,0
20.867,53.6,939.734,0.562,0
20.88,53.11,939.746,0.597,0
20.894,52.66,939.752,0.666,0
20.908,52.27,939.76,0.521,0
20.921,51.94,939.758,0.27,0
20.935,51.66,939.762,0.353,0
20.948,51.38,939.779,0.583,0
20.962,51.16,939.767,0.952,0
20.976,50.92,939.771,0.041,0
20.989,50.72,939.77,0.49,0
21.003,50.55,939.773,0.31,0
21.016,50.38,939.763,0.059,0
21.03,50.24,939.772,0.386,0
21.043,50.1,939.776,0.081,0
21.057,49.93,939.779,0.636,0
21.07,49.88,939.777,0.214,0
21.084,49.74,939.781,0.844,0
21.097,49.67,939.778,0.064,0
21.11,49.55,939.764,0.976,0
21.124,49.47,939.772,0.092,0
21.137,49.44,939.777,0.517,0
21.15,49.39,939.776,0.223,0
21.164,49.31,939.784,0.075,0
21.177,49.21,939.787,0.609,0
21.19,49.07,939.779,0.702,0
21.204,49.29,939.784,0.429,0
21.217,49.81,939.787,0.703,0
21.23,50.45,939.782,0.531,0
21.243,51.03,939.781,0.832,0
21.257,51.56,939.775,0.227,0
21.27,52.04,939.78,0.999,0
21.283,52.54,939.788,0.143,0
21.296,52.92,939.791,0.657,0
21.309,53.32,939.792,0.65,0
21.323,53.65,939.799,0.361,0
21.336,53.96,939.801,0.459,0
21.349,54.25,939.795,0.002,0
21.362,54.52,939.799,0.72,0
21.375,54.74,939.784,0.769,0
21.388,54.95,939.796,0.029,0
21.401,55.16,939.775,0.134,0
21.414,55.32,939.782,0.504,0
21.427,55.53,939.788,0.656,0
21.44,55.64,939.787,0.452,0
21.453,55.81,939.789,0.207,0
21.466,55.9,939.792,0.673,0
21.479,56.07,939.794,0.459,0
21.492,56.18,939.798,0.612,0
21.505,56.24,939.795,0.208,0
21.518,56.37,939.8,0.988,0
21.531,56.42,939.803,0.03,0
21.543,56.5,939.804,0.35,0
21.556,56.62,939.809,0.998,0
21.569,56.69,939.809,0.545,0
21.582,56.91,939.8,0.168,0
21.595,56.65,939.807,0.181,0
21.607,56.13,939.806,0.999,0
21.62,55.44,939.795,0.278,0
21.633,54.78,939.799,0.325,0
21.646,54.24,939.802,0.166,0
21.658,53.68,939.791,0.105,0
21.671,53.18,939.792,0.263,0
21.684,52.75,939.798,0.443,0
21.696,52.37,939.798,0.327,0
21.709,52.01,939.804,0.223,0
21.722,51.72,939.802,0.156,0
21.734,51.45,939.803,0.668,0
21.747,51.18,939.805,0.786,0
21.76,51.01,939.8,0.16,0
21.772,50.78,939.788,0.788,0
21.785,50.64,939.784,0.882,0
21.797,50.46,939.782,0.412,0
21.81,50.3,939.773,0.642,0
21.822,50.16,939.782,0.4,0
21.835,50.04,939.796,0.611,0
21.847,49.93,939.791,0.08,0
21.86,49.85,939.792,0.563,0
21.872,49.76,939.806,0.385,0
21.885,49.64,939.821,0.411,0
21.897,49.58,939.815,0.019,0
21.909,49.5,939.805,0.022,0
21.922,49.42,939.805,0.827,0
21.934,49.38,939.803,0.093,0
21.946,49.33,939.819,0.878,0
21.959,49.16,939.812,0.425,0
21.971,49.32,939.817,0.523,0
21.983,49.87,939.813,0.855,0
21.996,50.49,939.81,0.457,0
22.008,51.08,939.818,0.745,0
22.02,51.65,939.832,0.5,0
22.032,52.13,939.82,0.944,0
22.044,52.62,939.815,0.632,0
22.057,53.02,939.815,0.006,0
22.069,53.45,939.817,0.969,0
22.081,53.75,939.817,0.518,0
22.093,54.05,939.811,0.973,0
22.105,54.36,939.809,0.795,0
22.117,54.59,939.813,0.941,0
22.13,54.83,939.81,0.393,0
22.142,55.03,939.794,0.048,0
22.154,55.25,939.791,0.263,0
22.166,55.46,939.791,0.856,0
22.178,55.61,939.799,0.912,0
22.19,55.73,939.805,0.427,0
22.202,55.88,939.812,0.622,0
22.214,56.02,939.812,0.75,0
22.226,56.14,939.821,0.179,0
22.238,56.26,939.823,0.818,0
22.25,56.32,939.826,0.476,0
22.262,56.43,939.815,0.339,0
22.273,56.53,939.808,0.741,0
22.285,56.63,939.808,0.103,0
22.297,56.69,939.81,0.357,0
22.309,56.76,939.82,0.166,0
22.321,56.99,939.817,0.353,0
22.333,56.77,939.815,0.227,0
22.344,55.02,939.817,0.807,0
22.356,54.41,939.809,0.16,0
22.368,53.84,939.803,0.487,0
22.38,53.38,939.81,0.848,0
22.392,51.95,939.809,0.637,0
22.403,51.66,939.81,0.572,0
22.415,51.38,939.814,0.865,0
22.427,51.19,939.815,0.676,0
22.438,50.83,939.806,0.066,0
22.45,50.65,939.798,0.883,0
22.462,50.49,939.804,0.433,0
22.473,50.36,939.806,0.965,0
22.485,50.2,939.801,0.31,0
22.497,50.09,939.803,0.95,0
22.508,49.96,939.806,0.878,0
22.52,49.89,939.81,0.456,0
22.531,49.78,939.807,0.619,0
22.543,49.71,939.813,0.065,0
22.554,49.63,939.81,0.313,0
22.566,49.57,939.803,0.616,0
22.577,49.52,939.806,0.34,0
22.589,49.43,939.812,0.592,0
22.6,49.23,939.813,0.612,0
22.612,49.5,939.815,0.424,0
22.623,50.05,939.811,0.773,0
22.634,50.61,939.812,0.117,0
22.646,51.18,939.802,0.133,0
22.657,51.74,939.802,0.595,0
22.669,52.22,939.813,0.216,0
22.68,52.7,939.804,0.238,0
22.691,53.13,939.807,0.672,0
22.703,53.51,939.8,0.051,0
22.714,54.1,939.806,0.532,0
22.725,54.45,939.806,0.74,0
22.736,54.71,939.809,0.641,0
22.748,54.87,939.801,0.838,0
22.759,55.24,939.793,0.659,0
22.77,55.5,939.795,0.583,0
22.781,55.66,939.801,0.11,0
22.793,55.84,939.791,0.619,0
22.804,55.94,939.791,0.08,0
22.815,56.1,939.788,0.718,0
22.826,56.19,939.787,0.096,0
22.837,56.29,939.795,0.191,0
22.848,56.39,939.79,0.531,0
22.859,56.51,939.784,0.492,0
22.87,56.6,939.778,0.547,0
22.881,56.71,939.786,0.346,0
22.892,56.75,939.8,0.977,0
22.904,56.85,939.79,0.824,0
22.915,57.07,939.804,0.824,0
22.926,56.85,939.808,0.193,0
22.937,56.27,939.811,0.714,0
22.947,55.58,939.812,0.459,0
22.958,54.37,939.804,0.773,0
22.969,53.86,939.807,0.189,0
22.98,53.35,939.825,0.739,0
22.991,52.9,939.82,0.019,0
23.002,52.52,939.815,0.183,0
23.013,52.15,939.804,0.868,0
23.024,51.86,939.808,0.331,0
23.035,51.58,939.807,0.496,0
23.045,51.37,939.817,0.286,0
23.056,51.11,939.81,0.493,0
23.067,50.96,939.802,0.057,0
23.078,50.77,939.814,0.527,0
23.089,50.62,939.813,0.015,0
23.099,50.44,939.807,0.599,0
23.11,50.31,939.816,0.507,0
23.121,50.19,939.808,0.09,0
23.131,50.08,939.813,0.426,0
23.142,50.0,939.79,0.691,0
23.153,49.85,939.791,0.624,0
23.163,49.71,939.812,0.427,0
23.174,49.66,939.8,0.259,0
23.185,49.6,939.808,0.325,0
23.195,49.53,939.801,0.822,0
23.206,49.45,939.805,0.217,0
23.216,49.31,939.811,0.805,0
23.227,49.97,939.817,0.37,0
23.238,50.61,939.821,0.735,0
23.248,51.19,939.827,0.782,0
23.259,51.75,939.821,0.309,0
23.269,52.63,939.825,0.373,0
23.28,53.07,939.822,0.966,0
23.29,53.48,939.816,0.794,0
23.3,53.84,939.821,0.496,0
23.311,54.17,939.804,0.878,0
23.321,54.43,939.798,0.855,0
23.332,54.71,939.807,0.536,0
23.342,54.92,939.791,0.755,0
23.353,55.14,939.802,0.485,0
23.363,55.36,939.8,0.149,0
23.373,55.55,939.797,0.094,0
23.384,55.74,939.796,0.292,0
23.394,55.89,939.789,0.433,0
